wl:mh,wl:hot,region,throughput,avg,p50,p95,p99,pMax
0,1000000,us-east-1,788.4,20.3,21.0,25.2,28.3,335.5
0,1000000,us-east-2,726.2,22.0,22.0,29.4,32.5,260.0
0,1000000,us-west-1,840.2,19.0,18.9,31.5,35.7,285.2
0,1000000,us-west-2,844.3,19.0,18.9,24.1,26.2,318.8
0,1000000,eu-west-1,935.0,17.1,17.8,21.0,23.1,184.5
0,1000000,eu-west-2,717.2,22.3,22.0,30.4,33.6,226.5
0,100000,us-east-1,774.7,20.6,21.0,26.2,28.3,453.0
0,100000,us-east-2,785.6,20.4,19.9,28.3,31.5,419.4
0,100000,us-west-1,698.5,22.9,23.1,31.5,35.7,226.5
0,100000,us-west-2,847.6,18.9,18.9,24.1,26.2,536.9
0,100000,eu-west-1,873.5,18.3,18.9,23.1,25.2,285.2
0,100000,eu-west-2,711.0,22.5,22.0,30.4,33.6,352.3
0,10000,us-east-1,762.6,21.0,21.0,26.2,30.4,771.8
0,10000,us-east-2,788.3,20.3,19.9,28.3,32.5,167.8
0,10000,us-west-1,802.2,19.9,18.9,31.5,35.7,469.8
0,10000,us-west-2,807.1,19.8,19.9,24.1,28.3,637.5
0,10000,eu-west-1,925.2,17.3,17.8,21.0,25.2,402.7
0,10000,eu-west-2,707.8,22.6,23.1,29.4,33.6,436.2
0,1000,us-east-1,762.5,21.0,21.0,27.3,39.8,335.5
0,1000,us-east-2,716.1,22.3,22.0,31.5,44.0,486.5
0,1000,us-west-1,871.5,18.4,17.8,26.2,37.7,234.9
0,1000,us-west-2,808.3,19.8,19.9,25.2,37.7,318.8
0,1000,eu-west-1,902.9,17.7,17.8,23.1,33.6,285.2
0,1000,eu-west-2,671.3,23.8,24.1,30.4,44.0,176.2
0,100,us-east-1,556.7,28.7,24.1,58.7,117.4,520.1
0,100,us-east-2,516.1,31.0,25.2,62.9,113.2,520.1
0,100,us-west-1,508.9,31.4,26.2,62.9,113.2,939.5
0,100,us-west-2,613.0,26.1,21.0,52.4,92.3,838.9
0,100,eu-west-1,636.2,25.2,19.9,50.3,104.9,973.1
0,100,eu-west-2,487.0,32.9,26.2,65.0,125.8,1140.9
0,10,us-east-1,13.8,1149.5,738.2,3623.9,6442.5,9663.7
0,10,us-east-2,12.4,1245.1,805.3,4160.7,6174.0,7784.6
0,10,us-west-1,13.2,1174.7,838.9,3623.9,5100.3,7784.6
0,10,us-west-2,15.0,1049.9,671.1,3355.4,5368.7,8053.1
0,10,eu-west-1,12.7,1232.0,838.9,3623.9,5905.6,9126.8
0,10,eu-west-2,12.1,1303.9,838.9,4026.5,6442.5,8053.1
50,1000000,us-east-1,45.1,352.7,142.6,1040.2,1040.2,1610.6
50,1000000,us-east-2,46.3,342.3,33.6,1140.9,1140.9,2147.5
50,1000000,us-west-1,32.6,483.2,35.7,1677.7,1879.0,2281.7
50,1000000,us-west-2,34.9,455.5,24.1,1543.5,1677.7,2281.7
50,1000000,eu-west-1,32.6,480.9,142.6,1543.5,1610.6,1811.9
50,1000000,eu-west-2,27.8,569.5,142.6,1677.7,1744.8,2147.5
50,100000,us-east-1,45.9,346.6,35.7,1040.2,1040.2,2080.4
50,100000,us-east-2,46.0,344.0,142.6,1140.9,1140.9,1208.0
50,100000,us-west-1,33.4,469.8,32.5,1677.7,1677.7,2013.3
50,100000,us-west-2,33.2,478.4,251.7,1543.5,1610.6,3087.0
50,100000,eu-west-1,34.4,456.5,22.0,1543.5,1543.5,1811.9
50,100000,eu-west-2,27.7,571.3,151.0,1677.7,1744.8,2550.1
50,10000,us-east-1,44.2,360.3,142.6,1040.2,1040.2,2147.5
50,10000,us-east-2,46.2,342.7,31.5,1140.9,1140.9,2013.3
50,10000,us-west-1,31.7,497.8,251.7,1677.7,1744.8,2415.9
50,10000,us-west-2,33.2,476.8,251.7,1543.5,1610.6,2550.1
50,10000,eu-west-1,34.1,459.7,23.1,1543.5,1610.6,2684.4
50,10000,eu-west-2,27.5,572.8,151.0,1677.7,1744.8,2550.1
50,1000,us-east-1,43.2,367.7,142.6,1040.2,1208.0,2415.9
50,1000,us-east-2,44.2,356.4,142.6,1140.9,1208.0,2550.1
50,1000,us-west-1,30.4,518.2,251.7,1677.7,1879.0,3489.7
50,1000,us-west-2,33.3,475.3,243.3,1543.5,1811.9,3758.1
50,1000,eu-west-1,32.0,493.2,142.6,1543.5,1946.2,2818.6
50,1000,eu-west-2,25.6,617.6,151.0,1677.7,2080.4,3623.9
50,100,us-east-1,27.6,575.5,402.7,1879.0,3355.4,7247.8
50,100,us-east-2,27.9,565.0,503.3,1744.8,3221.2,7516.2
50,100,us-west-1,20.2,777.4,604.0,2550.1,3355.4,11274.3
50,100,us-west-2,21.2,744.1,604.0,2415.9,3221.2,10200.5
50,100,eu-west-1,18.5,854.8,771.8,2550.1,4831.8,10737.4
50,100,eu-west-2,16.8,945.2,1006.6,2684.4,5368.7,10200.5
50,10,us-east-1,1.4,8181.6,1040.2,45097.2,49392.1,57982.1
50,10,us-east-2,1.4,6815.1,2818.6,26843.5,30064.8,40802.2
50,10,us-west-1,1.0,12644.8,9663.7,36507.2,49392.1,53687.1
50,10,us-west-2,1.1,10289.5,4563.4,45097.2,49392.1,51539.6
50,10,eu-west-1,0.9,15827.8,5905.6,53687.1,57982.1,60129.5
