wl:mh,wl:hot,region,type,count,throughput,avg,p50,p95,p99,pMax
0,1000000,us-east-1,write,231272,2569.5,388.2,385.9,604.0,738.2,1610.6
0,1000000,us-east-2,deadlock,299,3.3,467.3,453.0,704.6,838.9,906.0
0,1000000,us-east-2,write,227892,2532.0,393.5,385.9,604.0,906.0,2080.4
0,1000000,us-west-1,deadlock,107,1.2,401.4,402.7,604.0,771.8,838.9
0,1000000,us-west-1,write,234590,2606.4,382.7,385.9,604.0,738.2,2147.5
0,1000000,us-west-2,deadlock,339,3.8,637.1,637.5,1006.6,1140.9,1275.1
0,1000000,us-west-2,write,178951,1988.2,500.4,469.8,838.9,1275.1,5100.3
0,1000000,eu-west-1,deadlock,52,0.6,439.6,436.2,637.5,671.1,771.8
0,1000000,eu-west-1,write,243580,2706.3,368.5,369.1,570.4,704.6,1811.9
0,1000000,eu-west-2,deadlock,235,2.6,621.9,604.0,973.1,1140.9,1140.9
0,1000000,eu-west-2,other,2,0.0,1174.4,1208.0,1208.0,1208.0,1208.0
0,1000000,eu-west-2,write,192282,2136.3,466.3,469.8,738.2,1140.9,3489.7
0,100000,us-east-1,deadlock,360,4.0,521.3,486.5,906.0,1073.7,1275.1
0,100000,us-east-1,other,5,0.1,516.7,570.4,637.5,637.5,637.5
0,100000,us-east-1,write,228015,2533.3,393.1,385.9,637.5,1006.6,4563.4
0,100000,us-east-2,deadlock,176,2.0,508.9,486.5,872.4,1140.9,1140.9
0,100000,us-east-2,too-old,3,0.0,1118.5,1073.7,1543.5,1543.5,1543.5
0,100000,us-east-2,write,209174,2324.0,428.9,419.4,671.1,1140.9,4295.0
0,100000,us-west-1,deadlock,547,6.1,451.7,436.2,738.2,1040.2,1140.9
0,100000,us-west-1,other,2,0.0,637.5,604.0,704.6,704.6,704.6
0,100000,us-west-1,write,230492,2560.9,388.6,385.9,604.0,872.4,3758.1
0,100000,us-west-2,deadlock,394,4.4,656.0,604.0,1208.0,1476.4,2684.4
0,100000,us-west-2,other,7,0.1,946.7,704.6,2080.4,2080.4,2080.4
0,100000,us-west-2,write,181882,2020.8,491.4,469.8,838.9,1409.3,6710.9
